Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
9-May-24,Thursday,May,Q2,2024,EQ,2864.80,2883.65,2756.00,2860.55,2765.00,2766.65,2814.22,3350.00,1857.75,1485510.00,116557.00
8-May-24,Wednesday,May,Q2,2024,EQ,2850.00,2890.90,2820.00,2835.95,2862.00,2860.55,2860.65,3350.00,1857.75,951411.00,57225.00
7-May-24,Tuesday,May,Q2,2024,EQ,2889.95,2905.35,2822.00,2874.65,2839.00,2835.95,2857.91,3350.00,1857.75,1262311.00,73865.00
6-May-24,Monday,May,Q2,2024,EQ,2993.25,3000.20,2850.00,2993.25,2872.00,2874.65,2890.39,3350.00,1857.75,2377944.00,126554.00
3-May-24,Friday,May,Q2,2024,EQ,3030.00,3045.00,2975.10,3039.60,2990.00,2993.25,3007.11,3350.00,1785.35,1472168.00,93663.00
2-May-24,Thursday,May,Q2,2024,EQ,3071.95,3119.85,3015.05,3054.70,3029.00,3039.60,3065.29,3350.00,1785.35,2219085.00,169345.00
30-Apr-24,Tuesday,April,Q2,2024,EQ,3094.00,3108.45,3045.00,3081.20,3052.50,3054.70,3074.15,3350.00,1785.35,804552.00,50263.00
29-Apr-24,Monday,April,Q2,2024,EQ,3110.00,3110.50,3051.50,3080.40,3080.00,3081.20,3079.00,3350.00,1785.35,648544.00,51392.00
26-Apr-24,Friday,April,Q2,2024,EQ,3119.90,3129.90,3066.05,3115.25,3089.00,3080.40,3090.20,3350.00,1775.80,662764.00,51695.00
25-Apr-24,Thursday,April,Q2,2024,EQ,3050.00,3120.90,3025.65,3043.55,3115.00,3115.25,3078.50,3350.00,1775.80,1515529.00,103832.00
24-Apr-24,Wednesday,April,Q2,2024,EQ,3071.95,3087.85,3040.00,3065.10,3042.90,3043.55,3066.42,3350.00,1775.80,605917.00,36665.00
23-Apr-24,Tuesday,April,Q2,2024,EQ,3059.00,3091.00,3043.10,3063.35,3058.00,3065.10,3066.74,3350.00,1775.80,1654272.00,61219.00
22-Apr-24,Monday,April,Q2,2024,EQ,3053.00,3077.50,3025.00,3026.95,3072.25,3063.35,3050.24,3350.00,1775.80,993929.00,51253.00
19-Apr-24,Friday,April,Q2,2024,EQ,3000.00,3057.05,2962.50,3019.30,3032.00,3026.95,3020.56,3350.00,1775.80,1727317.00,91721.00
18-Apr-24,Thursday,April,Q2,2024,EQ,3125.15,3145.00,3008.30,3106.40,3035.00,3019.30,3095.25,3350.00,1775.80,1703646.00,106820.00
16-Apr-24,Tuesday,April,Q2,2024,EQ,3101.00,3149.20,3100.00,3147.45,3108.00,3106.40,3119.45,3350.00,1775.80,1134184.00,48602.00
15-Apr-24,Monday,April,Q2,2024,EQ,3150.00,3180.30,3103.20,3209.90,3149.95,3147.45,3143.46,3350.00,1775.80,1035378.00,73457.00
12-Apr-24,Friday,April,Q2,2024,EQ,3210.00,3247.50,3205.30,3242.00,3215.00,3209.90,3221.01,3350.00,1760.60,705173.00,40387.00
10-Apr-24,Wednesday,April,Q2,2024,EQ,3200.00,3254.60,3192.50,3198.45,3245.00,3242.00,3231.43,3350.00,1760.60,1441138.00,55670.00
9-Apr-24,Tuesday,April,Q2,2024,EQ,3240.70,3251.00,3185.00,3224.55,3202.60,3198.45,3214.28,3350.00,1760.60,833679.00,38430.00
8-Apr-24,Monday,April,Q2,2024,EQ,3240.95,3243.50,3197.20,3224.80,3236.00,3224.55,3216.90,3350.00,1760.60,577440.00,37073.00
5-Apr-24,Friday,April,Q2,2024,EQ,3211.10,3234.00,3178.95,3210.80,3217.90,3224.80,3215.34,3350.00,1671.55,755607.00,37497.00
4-Apr-24,Thursday,April,Q2,2024,EQ,3250.00,3273.00,3201.70,3233.45,3220.00,3210.80,3234.57,3350.00,1671.55,1403826.00,99323.00
3-Apr-24,Wednesday,April,Q2,2024,EQ,3250.00,3260.15,3222.00,3268.75,3238.00,3233.45,3238.76,3350.00,1671.55,1153109.00,55622.00
2-Apr-24,Tuesday,April,Q2,2024,EQ,3258.95,3285.00,3240.00,3252.10,3267.35,3268.75,3259.76,3350.00,1671.55,868829.00,55071.00
1-Apr-24,Monday,April,Q2,2024,EQ,3230.20,3291.80,3207.85,3197.10,3255.20,3252.10,3247.41,3350.00,1671.55,1292646.00,71000.00
28-Mar-24,Thursday,March,Q1,2024,EQ,3134.00,3237.00,3096.75,3122.10,3197.00,3197.10,3178.72,3350.00,1573.00,2327053.00,141506.00
27-Mar-24,Wednesday,March,Q1,2024,EQ,3115.00,3138.45,3106.25,3109.95,3124.25,3122.10,3122.82,3350.00,1573.00,900231.00,66957.00
26-Mar-24,Tuesday,March,Q1,2024,EQ,3100.50,3171.95,3089.10,3107.70,3112.00,3109.95,3130.27,3350.00,1573.00,937103.00,66405.00
22-Mar-24,Friday,March,Q1,2024,EQ,3066.55,3128.95,3048.05,3066.50,3103.00,3107.70,3095.08,3350.00,1573.00,951557.00,63264.00
21-Mar-24,Thursday,March,Q1,2024,EQ,3089.55,3107.10,3059.60,3051.45,3071.65,3066.50,3080.51,3350.00,1573.00,1175751.00,67248.00
20-Mar-24,Wednesday,March,Q1,2024,EQ,3075.00,3083.20,3021.10,3052.70,3050.10,3051.45,3046.55,3350.00,1573.00,966481.00,64232.00
19-Mar-24,Tuesday,March,Q1,2024,EQ,3126.00,3164.80,3041.85,3111.75,3055.90,3052.70,3093.78,3350.00,1573.00,1460452.00,92875.00
18-Mar-24,Monday,March,Q1,2024,EQ,3050.10,3124.00,2976.05,3132.20,3110.00,3111.75,3053.40,3350.00,1573.00,3042515.00,159589.00
15-Mar-24,Friday,March,Q1,2024,EQ,3111.00,3143.40,3061.25,3087.45,3125.00,3132.20,3108.38,3350.00,1573.00,2199094.00,120251.00
14-Mar-24,Thursday,March,Q1,2024,EQ,2927.45,3101.20,2880.00,2906.20,3085.00,3087.45,3033.64,3350.00,1573.00,3759100.00,246625.00
13-Mar-24,Wednesday,March,Q1,2024,EQ,3125.00,3138.05,2850.15,3122.50,2909.80,2906.20,2950.44,3350.00,1573.00,3407040.00,237808.00
12-Mar-24,Tuesday,March,Q1,2024,EQ,3207.35,3222.70,3111.00,3207.35,3122.90,3122.50,3156.27,3350.00,1573.00,1199487.00,86164.00
11-Mar-24,Monday,March,Q1,2024,EQ,3241.20,3259.00,3200.00,3226.55,3210.00,3207.35,3229.54,3350.00,1573.00,738851.00,48887.00
